timestamp_s,frame_idx,rsu_node,connected_vehicle_count,registered_telemetry_count,packets_received,bytes_received,avg_latency_s,congested_local,congested_global,label_congestion_60s,label_congestion_120s
1,0,RSU_A,0,0,0,0,0.0,0,0,1,1
1,0,RSU_B,0,0,0,0,0.0,0,0,1,1
1,0,RSU_C,0,0,0,0,0.0,0,0,1,1
1,0,RSU_D,0,0,0,0,0.0,0,0,1,1
1,0,RSU_E,0,0,0,0,0.0,0,0,1,1
1,0,RSU_F,0,0,0,0,0.0,0,0,1,1
1,0,RSU_G,0,0,0,0,0.0,0,0,1,1
1,0,RSU_H,0,0,0,0,0.0,0,0,1,1
1,0,RSU_I,0,0,0,0,0.0,0,0,1,1
1,0,RSU_J,0,0,0,0,0.0,0,0,1,1
1,0,RSU_K,0,0,0,0,0.0,0,0,1,1
1,0,RSU_L,0,0,0,0,0.0,0,0,1,1
1,0,RSU_M,0,0,0,0,0.0,0,0,1,1
1,0,RSU_N,0,0,0,0,0.0,0,0,1,1
1,0,RSU_O,0,0,0,0,0.0,0,0,1,1
1,0,RSU_P,0,0,0,0,0.0,0,0,1,1
1,0,RSU_Q,0,0,0,0,0.0,0,0,1,1
1,0,RSU_R,0,0,0,0,0.0,0,0,1,1
1,0,RSU_S,0,0,0,0,0.0,0,0,1,1
1,0,RSU_T,0,0,0,0,0.0,0,0,1,1
1,0,RSU_U,0,0,0,0,0.0,0,0,1,1
1,0,RSU_V,0,0,0,0,0.0,0,0,1,1
1,0,RSU_W,0,0,0,0,0.0,0,0,1,1
1,0,RSU_X,0,0,0,0,0.0,0,0,1,1
1,0,RSU_Y,0,0,0,0,0.0,0,0,1,1
1,0,RSU_Z,0,0,0,0,0.0,0,0,1,1
2,1,RSU_A,0,0,0,0,0.0,0,0,1,1
2,1,RSU_B,0,0,0,0,0.0,0,0,1,1
2,1,RSU_C,0,0,0,0,0.0,0,0,1,1
2,1,RSU_D,0,0,0,0,0.0,0,0,1,1
2,1,RSU_E,0,0,0,0,0.0,0,0,1,1
2,1,RSU_F,0,0,0,0,0.0,0,0,1,1
2,1,RSU_G,0,0,0,0,0.0,0,0,1,1
2,1,RSU_H,0,0,0,0,0.0,0,0,1,1
2,1,RSU_I,0,0,0,0,0.0,0,0,1,1
2,1,RSU_J,0,0,0,0,0.0,0,0,1,1
2,1,RSU_K,0,0,0,0,0.0,0,0,1,1
2,1,RSU_L,0,0,0,0,0.0,0,0,1,1
2,1,RSU_M,0,0,0,0,0.0,0,0,1,1
2,1,RSU_N,0,0,0,0,0.0,0,0,1,1
2,1,RSU_O,0,0,0,0,0.0,0,0,1,1
2,1,RSU_P,0,0,0,0,0.0,0,0,1,1
2,1,RSU_Q,0,0,0,0,0.0,0,0,1,1
2,1,RSU_R,0,0,0,0,0.0,0,0,1,1
2,1,RSU_S,0,0,0,0,0.0,0,0,1,1
2,1,RSU_T,0,0,0,0,0.0,0,0,1,1
2,1,RSU_U,0,0,0,0,0.0,0,0,1,1
2,1,RSU_V,0,0,0,0,0.0,0,0,1,1
2,1,RSU_W,0,0,0,0,0.0,0,0,1,1
2,1,RSU_X,0,0,0,0,0.0,0,0,1,1
2,1,RSU_Y,0,0,0,0,0.0,0,0,1,1
2,1,RSU_Z,0,0,0,0,0.0,0,0,1,1
3,2,RSU_A,0,0,0,0,0.0,0,0,1,1
3,2,RSU_B,0,0,0,0,0.0,0,0,1,1
3,2,RSU_C,0,0,0,0,0.0,0,0,1,1
3,2,RSU_D,0,0,0,0,0.0,0,0,1,1
3,2,RSU_E,0,0,0,0,0.0,0,0,1,1
3,2,RSU_F,0,0,0,0,0.0,0,0,1,1
3,2,RSU_G,0,0,0,0,0.0,0,0,1,1
3,2,RSU_H,0,0,0,0,0.0,0,0,1,1
3,2,RSU_I,0,0,0,0,0.0,0,0,1,1
3,2,RSU_J,0,0,0,0,0.0,0,0,1,1
3,2,RSU_K,0,0,0,0,0.0,0,0,1,1
3,2,RSU_L,0,0,0,0,0.0,0,0,1,1
3,2,RSU_M,0,0,0,0,0.0,0,0,1,1
3,2,RSU_N,0,0,0,0,0.0,0,0,1,1
3,2,RSU_O,0,0,0,0,0.0,0,0,1,1
3,2,RSU_P,0,0,0,0,0.0,0,0,1,1
3,2,RSU_Q,0,0,0,0,0.0,0,0,1,1
3,2,RSU_R,0,0,0,0,0.0,0,0,1,1
3,2,RSU_S,0,0,0,0,0.0,0,0,1,1
3,2,RSU_T,0,0,0,0,0.0,0,0,1,1
3,2,RSU_U,0,0,0,0,0.0,0,0,1,1
3,2,RSU_V,0,0,0,0,0.0,0,0,1,1
3,2,RSU_W,0,0,0,0,0.0,0,0,1,1
3,2,RSU_X,0,0,0,0,0.0,0,0,1,1
3,2,RSU_Y,0,0,0,0,0.0,0,0,1,1
3,2,RSU_Z,0,0,0,0,0.0,0,0,1,1
4,3,RSU_A,0,0,0,0,0.0,0,0,1,1
4,3,RSU_B,0,0,0,0,0.0,0,0,1,1
4,3,RSU_C,0,0,0,0,0.0,0,0,1,1
4,3,RSU_D,0,0,0,0,0.0,0,0,1,1
4,3,RSU_E,0,0,0,0,0.0,0,0,1,1
4,3,RSU_F,0,0,0,0,0.0,0,0,1,1
4,3,RSU_G,0,0,0,0,0.0,0,0,1,1
4,3,RSU_H,0,0,0,0,0.0,0,0,1,1
4,3,RSU_I,0,0,0,0,0.0,0,0,1,1
4,3,RSU_J,0,0,0,0,0.0,0,0,1,1
4,3,RSU_K,0,0,0,0,0.0,0,0,1,1
4,3,RSU_L,0,0,0,0,0.0,0,0,1,1
4,3,RSU_M,0,0,0,0,0.0,0,0,1,1
4,3,RSU_N,0,0,0,0,0.0,0,0,1,1
4,3,RSU_O,0,0,0,0,0.0,0,0,1,1
4,3,RSU_P,0,0,0,0,0.0,0,0,1,1
4,3,RSU_Q,0,0,0,0,0.0,0,0,1,1
4,3,RSU_R,0,0,0,0,0.0,0,0,1,1
4,3,RSU_S,0,0,0,0,0.0,0,0,1,1
4,3,RSU_T,0,0,0,0,0.0,0,0,1,1
4,3,RSU_U,0,0,0,0,0.0,0,0,1,1
4,3,RSU_V,0,0,0,0,0.0,0,0,1,1
4,3,RSU_W,0,0,0,0,0.0,0,0,1,1
4,3,RSU_X,0,0,0,0,0.0,0,0,1,1
4,3,RSU_Y,0,0,0,0,0.0,0,0,1,1
4,3,RSU_Z,0,0,0,0,0.0,0,0,1,1
5,4,RSU_A,0,0,0,0,0.0,0,0,1,1
5,4,RSU_B,0,0,0,0,0.0,0,0,1,1
5,4,RSU_C,0,0,0,0,0.0,0,0,1,1
5,4,RSU_D,0,0,0,0,0.0,0,0,1,1
5,4,RSU_E,0,0,0,0,0.0,0,0,1,1
5,4,RSU_F,0,0,0,0,0.0,0,0,1,1
5,4,RSU_G,0,0,0,0,0.0,0,0,1,1
5,4,RSU_H,0,0,0,0,0.0,0,0,1,1
5,4,RSU_I,0,0,0,0,0.0,0,0,1,1
5,4,RSU_J,0,0,0,0,0.0,0,0,1,1
5,4,RSU_K,0,0,0,0,0.0,0,0,1,1
5,4,RSU_L,0,0,0,0,0.0,0,0,1,1
5,4,RSU_M,0,0,0,0,0.0,0,0,1,1
5,4,RSU_N,0,0,0,0,0.0,0,0,1,1
5,4,RSU_O,0,0,0,0,0.0,0,0,1,1
5,4,RSU_P,0,0,0,0,0.0,0,0,1,1
5,4,RSU_Q,0,0,0,0,0.0,0,0,1,1
